Original Sentence	Modified Sentence	Case Rule Applied	Source of Data
Ṣùgbọ́n ẹ̀yin ní ìfòróróyàn láti ọ̀dọ̀ Ẹ̀mí Mímọ́ wá	Ṣugbọn ẹyin ni ifororoyan lati ọdọ Ẹmi Mimọ wa	remove_only_accents	bible
Mikali gbé ère ó sì tẹ́ e lórí ibùsùn	Mikali gbe ere o si te e lori ibusun	remove_accents_and_underdots	bible
Hasari-Ṣuali	Hasari-Suali	remove_accents_and_underdots	bible
Níbikíbi tí ẹ bá ti gbọ́ ohùn ìpè	Nibikibi ti e ba ti gbo ohun ipe	remove_accents_and_underdots	bible
Nísinsin yìí tí  Ọlọ́run yín ti fún àwọn arákùnrin yín ní ìsinmi gẹ́gẹ́ bí ó ti ṣèlérí	Nisinsin yii ti  Ọlọrun yin ti fun awọn arakunrin yin ni isinmi gẹgẹ bi o ti ṣeleri	remove_only_accents	bible
Jerusalẹmu tuntun.	Jerusalẹmu tuntun.	remove_only_accents	bible
Nípa ṣíṣe báyìí	Nipa ṣiṣe bayii	remove_only_accents	bible
Ṣùgbọ́n ọkùnrin tí yóò tọ́ wọn yóòfi irin àti ọ̀pá ọ̀kọ̀ ṣagbára yí ara rẹ̀ ká;wọ́n ó jóná lúúlúú níbìkan náà.”	Sugbon okunrin ti yoo to won yoofi irin ati opa oko sagbara yi ara re ka;won o jona luuluu nibikan naa.”	remove_accents_and_underdots	bible
Ẹ̀yin ọmọ ọ̀dọ̀	Ẹyin ọmọ ọdọ	remove_only_accents	bible
Ago àti pomegiranate kọjú sí àyíká ìṣẹ́tí ọ̀já àmùrè láti máa wọ̀ ọ́ fún iṣẹ́ àlùfáà	Ago ati pomegiranate koju si ayika iseti oja amure lati maa wo o fun ise alufaa	remove_accents_and_underdots	bible
Ní ọjọ́ kan náà ni ọba Ahaswerusi fún Esteri ayaba ní ilé e Hamani	Ni ojo kan naa ni oba Ahaswerusi fun Esteri ayaba ni ile e Hamani	remove_accents_and_underdots	bible
Ẹnìkọ̀ọ̀kan yóò jẹ́ bí ibi ìṣápamọ́ kúrò lọ́wọ́ afẹ́fẹ́àti ààbò kúrò lọ́wọ́ ìjì	Enikookan yoo je bi ibi isapamo kuro lowo afefeati aabo kuro lowo iji	remove_accents_and_underdots	bible
Gbogbo ènìyàn tí ó kù nínú àwọn ará Amori ará Hiti	Gbogbo eniyan ti o ku ninu awon ara Amori ara Hiti	remove_accents_and_underdots	bible
Ǹjẹ́ ẹnikẹ́ni lè sápamọ́ sí ibi kọ́lọ́fín kan	Njẹ ẹnikẹni sapamọ ibi kọlọfin kan	remove_only_accents_and_any_random_word	bible
Nígbà tí mo sọkúntí mo sì ń fi àwẹ̀ jẹ ara mi ní ìyàèyí náà sì dín ẹ̀gàn mi kù;	Nigba ti mo sọkunti mo si n fi awẹ ara jẹ mi ni iyaeyi naa si din ẹgan mi ku;	remove_only_accents_and_swap_word	bible
Nígbà náà ni èmi ó máa kọrin ìyìn sí orúkọ rẹ títí láékí n san ẹ̀jẹ́ mi ní ojoojúmọ́.	Nigba naa ni emi o maa korin iyin si oruko re titi laeki n san eje mi ni ojoojumo.	remove_accents_and_underdots	bible
Mo mú ìwé tí mo fi rà á	Mo mu iwe ti mo fi ra a	remove_accents_and_underdots	bible
Wọn yóò gbé ní ilẹ̀ tí mo fún Jakọbu ìránṣẹ́ mi	Won yoo gbe ni ile ti mo fun Jakobu iranse mi	remove_accents_and_underdots	bible
Jesu dáhùn pé	Jesu dahun pe	remove_accents_and_underdots	bible
Israẹli sì fẹ́ràn Josẹfu ju gbogbo àwọn ọmọ rẹ̀ tókù lọ	Israẹli si fẹran Josẹfu ju gbogbo awọn ọmọ rẹ toku lọ	remove_only_accents	bible
Ó sì tún sọ èyí pé	O si tun so eyi pe	remove_accents_and_underdots	bible
Èmi kò kọ̀wé nǹkan wọ̀nyí láti fi dójútì yín	Emi ko kọwe nnkan wọnyi lati fi dojuti yin	remove_only_accents	bible
Àwọn àlejò mẹ́ta.	Awọn alejo mẹta.	remove_only_accents	bible
Tàbí ẹyin kò mọ pé gbogbo wa ti a ti bamitiisi wa sínú Jesu Kristi ni a ti bamitiisi sínú ikú rẹ. 	Tabi eyin ko mo pe gbogbo wa ti a ti bamitiisi wa sinu Jesu Kristi ni a ti bamitiisi sinu iku re. 	remove_accents_and_underdots	bible
Gẹ́gẹ́ bí a ti kọ ọ́ pé: “Jakọbu ni mo fẹ́ràn	Gege bi a ti ko o pe: “Jakobu ni mo feran	remove_accents_and_underdots	bible
“ nígbà tí o jáde kúrò ní Seiri	jade ti o nigba kuro ni Seiri	remove_only_accents_and_swap_word	bible
Ahasi sì jẹ́ ẹni ogún ọdún nígbà tí ó bẹ̀rẹ̀ ìjọba	Ahasi si je eni ogun odun nigba ti o bere ijoba	remove_accents_and_underdots	bible
Ó sì ní arábìnrin kan tí a ń pè ní Maria tí ó sì jókòó lẹ́bàá ẹsẹ̀ Olúwa	O si ni arabinrin kan ti a n pe ni Maria ti o si jokoo lebaa ese Oluwa	remove_accents_and_underdots	bible
Jesu kìlọ̀ fún wọn pé	Jesu kilo fun won pe	remove_accents_and_underdots	bible
Pípa ọjọ́ ìsinmi mọ́.	Pipa ojo isinmi mo.	remove_accents_and_underdots	bible
Ṣùgbọ́n kí ẹ máa pa àṣẹ àti òfin mi mọ́. Onílé tàbí àjèjì tó ń gbé láàrín yín kò gbọdọ̀ ṣe ọ̀kan nínú àwọn ohun ìríra wọ̀nyí. 	Sugbon ki e maa pa ase ati ofin mi mo. Onile tabi ajeji to n gbe laarin yin ko gbodo se okan ninu awon ohun irira wonyi. 	remove_accents_and_underdots	bible
Matiu	Matiu	remove_accents_and_underdots	bible
Àwọn yàrá kéékèèkéé rẹ̀	Awon yara keekeekee re	remove_accents_and_underdots	bible
Jehoahasi sì jẹ́ ẹni ọdún mẹ́tàlélógún nígbà tí ó di ọba	Jehoahasi si jẹ ẹni ọdun mẹtalelogun nigba ti o di ọba	remove_only_accents	bible
“Èmi  ń wo ọkàn àti èròinú ọmọ ènìyàn láti san èrèiṣẹ́ rẹ̀ fún un	Emi  n wo ọkan ati eroinu ọmọ eniyan lati san ereiṣẹ rẹ fun un	remove_only_accents	bible
Nítorí tí wọ́n ṣọ̀tẹ̀ sí ẹ̀mí Ọlọ́run.Ọ̀rọ̀ àìdára sì ti ẹnu Mose wá.	Nitori ti won sote si emi Olorun.Oro aidara si ti enu Mose wa.	remove_accents_and_underdots	bible
Ní ọjọ́ náà ni  yóò súfèé pe àwọn eṣinṣin láti àwọn odò tó jìnnà ní Ejibiti wá	Ni ojo naa ni  yoo sufee pe awon esinsin lati awon odo to jinna ni Ejibiti wa	remove_accents_and_underdots	bible
Níwọ́n ìgbà tí ìwọ sì wà níbẹ̀	Niwon igba ti iwo si wa nibe	remove_accents_and_underdots	bible
“Nítorí báyìí ni  Olódùmarè wí: Báwo ni yóò ti burú tó nígbà tí mo bá rán ìdájọ́ kíkan mi mẹ́rin sórí Jerusalẹmu	Nitori bayii ni  Olodumare wi: Bawo ni yoo ti buru to nigba ti mo ba ran idajọ kikan mi mẹrin sori Jerusalẹmu	remove_only_accents	bible
Ẹ má ṣe kẹ́gàn àwọn ti ń sọtẹ́lẹ̀. 	E ma se kegan awon ti n sotele. 	remove_accents_and_underdots	bible
ṣùgbọ́n ìwọ kò gbọdọ̀ jẹ nínú èso igi ìmọ̀ rere àti èso igi ìmọ̀ búburú	sugbon iwo ko gbodo je ninu eso igi imo rere ati eso igi imo buburu	remove_accents_and_underdots	bible
Ìbẹ̀rù  bà lórí gbogbo ìjọba ilẹ̀ tí ó yí Juda ká	Ibẹru  ba lori gbogbo ijọba ilẹ ti o yi Juda ka	remove_only_accents	bible
Ẹni tí kò bá ní ìfẹ́ kò mọ Ọlọ́run: nítorí pé ìfẹ́ ni Ọlọ́run. 	Ẹni ti ko ni ko mọ Ọlọrun: nitori pe ifẹ ni Ọlọrun.	remove_only_accents_and_any_random_word	bible
Ó fi orin tuntun sí mi lẹ́nu	fi orin tuntun mi lẹnu	remove_only_accents_and_any_random_word	bible
Mú onírúurú oúnjẹ wá sínú ọkọ̀	Mu oniruuru ounje wa sinu oko	remove_accents_and_underdots	bible
Wọ̀nyí ni ìdílé àwọn ọmọ Reubeni; àwọn tí a sì kà nínú wọn jẹ́ ẹgbàá-mọ́kànlélógún ó-lé-ẹgbẹ̀sán ó-dínàádọ́rin (43	Wonyi ni idile awon omo Reubeni; awon ti a si ka ninu won je egbaa-mokanlelogun o-le-egbesan o-dinaadorin (43	remove_accents_and_underdots	bible
Ẹ yin  pẹ̀lú dùùrù;ẹ máa fi ohun èlò olókùn mẹ́wàá kọrin sí i.	E yin  pelu duuru;e maa fi ohun elo olokun mewaa korin si i.	remove_accents_and_underdots	bible
Bí ọkùnrin méjì bá ń jà	Bi okunrin meji ba n ja	remove_accents_and_underdots	bible
Ṣùgbọ́n bí wọn kò bá gba ààmì méjèèjì wọ̀nyí gbọ́	Sugbon bi won ko ba gba aami mejeeji wonyi gbo	remove_accents_and_underdots	bible
Nítorí ẹni tí ó bá tàpá sí àṣẹ	Nitori ẹni ti o ba tapa si aṣẹ	remove_only_accents	bible
Ẹnu sì ya gbogbo wọn	Enu si ya gbogbo won	remove_accents_and_underdots	bible
Noga	Noga	remove_only_accents_and_swap_word	bible
Nítorí náà ìwọ ọmọ mi	Nitori naa iwo omo mi	remove_accents_and_underdots	bible
A sì fi igi kedari tẹ́ ẹ lókè lórí yàrá tí ó jókòó lórí ọ̀wọ́n márùnlélógójì	A si fi igi kedari te e loke lori yara ti o jokoo lori owon marunlelogoji	remove_accents_and_underdots	bible
Nítòótọ́	Nitootọ	remove_only_accents_and_swap_word	bible
Wọ́n sì sin Abneri ní Hebroni: ọba sì gbé ohùn rẹ̀ sókè	Won si sin Abneri ni Hebroni: oba si gbe ohun re soke	remove_accents_and_underdots	bible
Báyìí ni  wí:“Ègbé ni fún àwọn tí ó fi ìgbẹ́kẹ̀lé wọn sínú ènìyàn	Bayii ni  wi:“Egbe ni fun awon ti o fi igbekele won sinu eniyan	remove_accents_and_underdots	bible
Ojú yóò sì ti àwọn Wòlíìàwọn alásọtẹ́lẹ̀ pẹ̀lú yóò sì gba ìtìjú.Gbogbo wọn ni yóò bo ojú wọn	Oju yoo si ti awọn Woliiawọn alasọtẹlẹ pẹlu yoo si gba itiju.Gbogbo wọn ni yoo bo oju wọn	remove_only_accents	bible
Àwọn àlùfáà kò sì le wo ilé  náà nítorí pé ògo  kún un. 	Awon alufaa ko si le wo ile  naa nitori pe ogo  kun un. 	remove_accents_and_underdots	bible
Ọmọkùnrin ará Heberu kan tí ó jẹ́ ìránṣẹ́ olórí ẹ̀ṣọ́ wà níbẹ̀ pẹ̀lú wa. A rọ́ àwọn àlá wa fún un	Omokunrin ara Heberu kan ti o je iranse olori eso wa nibe pelu wa. A ro awon ala wa fun un	remove_accents_and_underdots	bible
láti jẹ́ ìránṣẹ́ Kristi Jesu láàrín àwọn Kèfèrí láti polongo ìhìnrere Ọlọ́run gẹ́gẹ́ bí ojúṣe àlùfáà	lati je iranse Kristi Jesu laarin awon Keferi lati polongo ihinrere Olorun gege bi ojuse alufaa	remove_accents_and_underdots	bible
Ẹ máa yọ̀ ní àkókò àjọ̀dún un yín	Ẹ maa yọ ni ajọdun yin	remove_only_accents_and_any_random_word	bible
Nítorí pé Ọlọ́run kò fún wa ni ẹ̀mí ìbẹ̀rù	Nitori pe Olorun ko fun wa ni emi iberu	remove_accents_and_underdots	bible
Bí èyí sì ti dá mi lójú	Bi eyi si ti da mi loju	remove_accents_and_underdots	bible
Solomoni gbé ọmọbìnrin Farao sókè láti ìlú Dafidi lọ sí ibi tí ó ti kọ́ fún un	Solomoni gbe ọmọbinrin Farao soke lati ilu Dafidi lọ si ibi ti o ti kọ fun un	remove_only_accents	bible
Nígbà tí ìwọ bá fi fún wọn	Nigba ti iwọ ba fi fun wọn	remove_only_accents	bible
Àsọtẹ́lẹ̀ tó lòdì sí Babeli.	Asotele to lodi si Babeli.	remove_accents_and_underdots	bible
Wọ́n gbé àpótí ẹ̀rí Ọlọ́run	Wọn gbe apoti ẹri Ọlọrun	remove_only_accents	bible
Ilé Israẹli àti ilé Judati jẹ́ aláìṣòdodo sí mi	Ile Israẹli ati ile Judati jẹ alaiṣododo mi si	remove_only_accents_and_swap_word	bible
Àlùfáà yóò mú lára òróró tí ó kù ní àtẹ́lẹwọ́ rẹ̀ yóò fi sí etí ọ̀tún	Alufaa yoo mu lara ororo ti o ku ni atelewo re yoo fi si eti otun	remove_accents_and_underdots	bible
Saulu fetísí Jonatani	Saulu fetisi Jonatani	remove_accents_and_underdots	bible
Ǹjẹ́ olúwa mi	Nje oluwa mi	remove_accents_and_underdots	bible
Ẹ fi ojúlówó tùràrí sí ọnà kọ̀ọ̀kan	turari fi ojulowo Ẹ si ọna kọọkan	remove_only_accents_and_swap_word	bible
Nítorí Ọlọ́run fi ọ̀tẹ̀ wọn hàn mí mo mọ̀ ọ́n; nítorí ní àsìkò náà ó fi ohun tí wọ́n ń ṣe hàn mí. 	Nitori Ọlọrun fi ọtẹ wọn han mi mo mọ ọn; nitori ni asiko naa o fi ohun ti wọn n ṣe han mi. 	remove_only_accents	bible
“Ọmọ ènìyàn	eniyan Ọmọ	remove_only_accents_and_swap_word	bible
 sọ fún Mose lẹ́yìn ikú àwọn ọmọ Aaroni méjèèjì tí wọ́n kú nígbà tí wọ́n súnmọ́ . 	 sọ fun Mose lẹyin iku awọn ọmọ Aaroni mejeeji ti wọn ku nigba ti wọn sunmọ . 	remove_only_accents	bible
Ní àṣálẹ́ ọjọ́ náà ni àwọn àparò fò dé	Ni asale ojo naa ni awon aparo fo de	remove_accents_and_underdots	bible
“Nítorí náà ni kí o pàṣẹ pé kí wọn kí ó gé igi kedari Lebanoni fún mi wá. Àwọn ènìyàn mi yóò ṣiṣẹ́ pẹ̀lú tìrẹ	“Nitori naa ni ki o pase pe ki won ki o ge igi kedari Lebanoni fun mi wa. Awon eniyan mi yoo sise pelu tire	remove_accents_and_underdots	bible
Gamalieli ọmọ Pedasuri	Gamalieli ọmọ Pedasuri	remove_only_accents	bible
Nígbà tí wọ́n dé ìlú náà; Iṣmaeli ọmọkùnrin Netaniah àti àwọn ọkùnrin tí ó wà pẹ̀lú rẹ̀ pa wọ́n	Nigba ti won de ilu naa; Ismaeli omokunrin Netaniah ati awon okunrin ti o wa pelu re pa won	remove_accents_and_underdots	bible
Nítorí náà	Nitori naa	remove_only_accents_and_any_random_word	bible
Àwọn ọkùnrin alágbára mẹ́ta sì la ogún àwọn Filistini lọ	Awon okunrin alagbara meta si la ogun awon Filistini lo	remove_accents_and_underdots	bible
		remove_only_accents_and_any_random_word	bible
Dafidi sì ṣọ́ wọn pẹ̀lú òtítọ́ inú ọkàn;pẹ̀lú ọwọ́ òye ni ó fi darí wọn.	Dafidi si ṣọ wọn inu otitọ pẹlu ọkan;pẹlu ọwọ oye ni o fi dari wọn.	remove_only_accents_and_swap_word	bible
Bẹ́ẹ̀ ni a ó sì gba gbogbo Israẹli là	Bee ni a o si gba gbogbo Israeli la	remove_accents_and_underdots	bible
Má ṣe máa lọ sí ilé aládùúgbò rẹ nígbà gbogbotàbí kí ó máa lọ síbẹ̀ lálọ jù	Ma se maa lo si ile aladuugbo re nigba gbogbotabi ki o maa lo sibe lalo ju	remove_accents_and_underdots	bible
Lójúkan náà	Lojukan naa	remove_accents_and_underdots	bible
Ó sì dáhùn ó sì wí fún mi pé	O si dahun o si wi fun mi pe	remove_accents_and_underdots	bible
Bí ó sì ti ń sọ̀rọ̀ lẹ́nu	Bi o si ti n soro lenu	remove_accents_and_underdots	bible
Nítorí náà kí ẹnikẹ́ni má ṣe kẹ́gàn rẹ̀. Ṣùgbọ́n ẹ sín ín jáde lọ́nà àjò ni àlàáfíà	Nitori naa ki enikeni ma se kegan re. Sugbon e sin in jade lona ajo ni alaafia	remove_accents_and_underdots	bible
 wí pé	 wi pe	remove_accents_and_underdots	bible
Ìlú náà kò sì ní oòrùn	Ilu naa ko si ni oorun	remove_accents_and_underdots	bible
Àlùfáà náà yóò sì fi ẹ̀jẹ̀ náà wọ́n ibi pẹpẹ  ní ẹnu-ọ̀nà àgọ́ ìpàdé	Alufaa naa yoo si fi eje naa won ibi pepe  ni enu-ona ago ipade	remove_accents_and_underdots	bible
Peteru sì tẹjúmọ́ ọn	Peteru si tejumo on	remove_accents_and_underdots	bible
Ará Benjamini kan wà	Ara Benjamini kan wa	remove_accents_and_underdots	bible
Ní ọdún kejìléláàdọ́ta Asariah ọba Juda	Ni odun kejilelaadota Asariah oba Juda	remove_accents_and_underdots	bible
Àwa mọ̀ pé	Awa mo pe	remove_accents_and_underdots	bible
Lílé àwọn orílẹ̀-èdè jáde.	Lile awon orile-ede jade.	remove_accents_and_underdots	bible
Angẹli keje sì fọn ìpè; a sì gbọ́ ohùn ńlá láti ọ̀run	Angẹli keje si fọn ipe; a si gbọ ohun nla lati ọrun	remove_only_accents	bible
Ní ọdún méje ọ̀pọ̀	Ni odun meje opo	remove_accents_and_underdots	bible
Ó sàn láti jẹ́ onísùúrù ju ajagun ènìyàn lọ	O san lati jẹ onisuuru ju ajagun eniyan lọ	remove_only_accents	bible
Wọ́n wà níbẹ̀	Won wa nibe	remove_accents_and_underdots	bible
Lẹ́yìn èyí ni mo rí angẹli mẹ́rin dúró ní igun mẹ́rẹ̀ẹ̀rin ayé	Lẹyin eyi ni mo ri igun mẹrin duro ni angẹli mẹrẹẹrin aye	remove_only_accents_and_swap_word	bible
Òun ni ó mú un yín la aginjù ẹlẹ́rù ńlá já	Oun ni o mu un yin la aginju eleru nla ja	remove_accents_and_underdots	bible
“Nígbà tí o bá sọ nǹkan wọ̀nyí fún àwọn ènìyàn yìí	“Nigba ti o ba so nnkan wonyi fun awon eniyan yii	remove_accents_and_underdots	bible
Gbogbo àwọn ìlú tí ó wà ní orí òkè olórí títẹ́ náà ni a gbà àti gbogbo Gileadi	Gbogbo awon ilu ti o wa ni ori oke olori tite naa ni a gba ati gbogbo Gileadi	remove_accents_and_underdots	bible
Ǹjẹ́ Jehoiakini ẹni ẹ̀gàn yàtọ̀ sí ìkòkò òfìfo	yatọ Jehoiakini ẹni ẹgan Njẹ si ikoko ofifo	remove_only_accents_and_swap_word	bible
Ọdún ìsinmi.	Odun isinmi.	remove_accents_and_underdots	bible
Àwọn ọ̀run yóò sì sọ̀rọ̀ òdodo rẹ̀	Awọn ọrun yoo si rẹ ododo sọrọ	remove_only_accents_and_swap_word	bible
Ǹjẹ́ ìwọ kò ha a pè mí láìpẹ́ yìí pé	Njẹ iwọ ko ha pe mi laipẹ pe	remove_only_accents_and_any_random_word	bible
Ìjẹ́wọ́ ẹsẹ̀ àwọn ènìyàn.	Ijewo ese awon eniyan.	remove_accents_and_underdots	bible
Ọmọ-ẹ̀yìn rẹ̀ mìíràn sì wí fún un pé	Ọmọ-ẹyin rẹ miiran si wi fun un pe	remove_only_accents	bible
Bẹ́ẹ̀ ni èmi àti àwọn arákùnrin mi àti àwọn ènìyàn mi àti àwọn ẹ̀ṣọ́ tí ó wà pẹ̀lú mi kò bọ́ aṣọ wa	Bee ni emi ati awon arakunrin mi ati awon eniyan mi ati awon eso ti o wa pelu mi ko bo aso wa	remove_accents_and_underdots	bible
Bí àpẹẹrẹ	Bi apẹẹrẹ	remove_only_accents_and_any_random_word	bible
Nígbà tí mo rí i	Nigba ti mo i ri	remove_only_accents_and_swap_word	bible
Ọba Ejibiti pe àwọn agbẹ̀bí ó sì béèrè lọ́wọ́ wọn pé	Ọba Ejibiti pe awọn agbẹbi o si beere lọwọ wọn pe	remove_only_accents	bible
Àwọn aposteli àti àwọn alàgbà péjọ láti rí si ọ̀ràn yìí. 	Awon aposteli ati awon alagba pejo lati ri si oran yii. 	remove_accents_and_underdots	bible
Nítorí náà	Nitori naa	remove_only_accents	bible
Bí ẹ̀yin ti mọ̀ pé ohun rere tí olúkúlùkù bá ṣe òun náà ní yóò sí gbà padà lọ́dọ̀ Olúwa	Bi eyin ti mo pe ohun rere ti olukuluku ba se oun naa ni yoo si gba pada lodo Oluwa	remove_accents_and_underdots	bible
Nígbà tí ó di ọdún kẹta ìjọba Belṣassari ọba	Nigba ti o di odun keta ijoba Belsassari oba	remove_accents_and_underdots	bible
Ọkùnrin náà lọ	naa	remove_only_accents_and_any_random_word	bible
Àwọn òtòṣì àti aláìníyóò máa fi ọ̀wọ̀ ńlá fún ọ nígbà gbogbo	Awọn otoṣi ati alainiyoo maa fi ọwọ nla fun ọ nigba gbogbo	remove_only_accents	bible
Ìwọ sì ní ọ̀pọ̀lọpọ̀ àwọn oníṣẹ́ ènìyàn: àwọn gbẹ́nàgbẹ́nà	Iwo si ni opolopo awon onise eniyan: awon gbenagbena	remove_accents_and_underdots	bible
Jeroboamu sinmi pẹ̀lú àwọn baba rẹ̀	Jeroboamu sinmi pelu awon baba re	remove_accents_and_underdots	bible
A sì fún un ni ẹnu láti má sọ ohun ńlá àti ọ̀rọ̀-òdì	A si fun un ni ẹnu nla ma sọ ohun lati ati ọrọ-odi	remove_only_accents_and_swap_word	bible
Ṣùgbọ́n wọn dán Ọlọ́run wòwọn sì ṣọ̀tẹ̀ sí Ọ̀gá-ògo;wọn kò pa àṣẹ rẹ̀ mọ́.	Ṣugbọn wọn dan Ọlọrun wowọn si ṣọtẹ si Ọga-ogo;wọn ko pa aṣẹ rẹ mọ.	remove_only_accents	bible
Nígbà tí ó sì tí wí nǹkan wọ̀nyí	Nigba ti o si ti wi nnkan wonyi	remove_accents_and_underdots	bible
Ìránṣẹ́ Josiah gbé ara rẹ̀ wá nínú kẹ̀kẹ́ láti Megido sí Jerusalẹmu ó sì sin ín sínú isà òkú rẹ̀. Àwọn ènìyàn ilẹ̀ náà mú Jehoahasi ọmọ Josiah. Ó fi ààmì òróró yàn án	Iranse Josiah gbe ara re wa ninu keke lati Megido si Jerusalemu o si sin in sinu isa oku re. Awon eniyan ile naa mu Jehoahasi omo Josiah. O fi aami ororo yan an	remove_accents_and_underdots	bible
“Láti àkókò tí a ó mú ẹbọ ojoojúmọ́ kúrò	Lati akoko ti a o mu ojoojumọ ẹbọ kuro	remove_only_accents_and_swap_word	bible
Àwọn ènìyàn	Awọn eniyan	remove_only_accents	bible
Ní alẹ́ ọjọ́ náà ọkùnrin arúgbó kan láti àwọn òkè Efraimu	Ni alẹ naa ọkunrin arugbo kan lati awọn oke	remove_only_accents_and_any_random_word	bible
Tẹ́ wa lọ́rùn ní òwúrọ̀ nínú ìṣeun ìfẹ́ rẹ	Te wa lorun ni owuro ninu iseun ife re	remove_accents_and_underdots	bible
Joṣua ọmọ Nuni àti Kalebu ọmọ Jefunne	Josua omo Nuni ati Kalebu omo Jefunne	remove_accents_and_underdots	bible
Eleasari ọmọ Aaroni sì kú	Eleasari ọmọ ku si Aaroni	remove_only_accents_and_swap_word	bible
Ó sì mú mi lọ sí ìta àgbàlá	O si mu mi lo si ita agbala	remove_accents_and_underdots	bible
Àwọn ọba Tarṣiṣi àti ti erékùṣùwọn yóò mú ọrẹ wá fún un;àwọn ọba Ṣeba àti Sebawọn ó mú ẹ̀bùn wá fún un.	Awọn ọba Tarṣiṣi ati ti erekuṣuwọn yoo mu ọrẹ wa fun un;awọn ọba Ṣeba ati Sebawọn o wa fun un.	remove_only_accents_and_any_random_word	bible
Àwọn ọkùnrin Israẹli	Awọn ọkunrin Israẹli	remove_only_accents	bible
Ta ni nínú ènìyàn tí ó mọ èrò ọkàn ènìyàn kan	Ta ni ninu eniyan ti o mọ ero ọkan eniyan kan	remove_only_accents	bible
Kí ẹni tí ń jalè má ṣe jalè mọ́: ṣùgbọ́n kí ó kúkú máa ṣe làálàá	Ki eni ti n jale ma se jale mo: sugbon ki o kuku maa se laalaa	remove_accents_and_underdots	bible
Nísinsin yìí àwọn ènìyàn àti àwọn ìyàwó wọn kígbe ńlá sókè sí àwọn Júù arákùnrin wọn. 	Nisinsin yii eniyan ati awọn iyawo kigbe nla soke si awọn Juu arakunrin wọn.	remove_only_accents_and_any_random_word	bible
Ìrìn àrè ní aginjù.	Irin are ni aginju.	remove_accents_and_underdots	bible
